Date,Sale
2015-07-31,8492
2015-07-30,8420
2015-07-29,7029
2015-07-28,6717
2015-07-27,8739
2015-07-26,0
2015-07-25,3288
2015-07-24,4917
2015-07-23,6109
2015-07-22,4996
2015-07-21,5168
2015-07-20,5956
2015-07-19,0
2015-07-18,3813
2015-07-17,6728
2015-07-16,8808
2015-07-15,7932
2015-07-14,8845
2015-07-13,9117
2015-07-12,0
2015-07-11,3707
2015-07-10,6067
2015-07-09,5602
2015-07-08,5322
2015-07-07,5365
2015-07-06,6740
2015-07-05,0
2015-07-04,3418
2015-07-03,6535
2015-07-02,8658
2015-07-01,8523
2015-06-30,9836
2015-06-29,10444
2015-06-28,0
2015-06-27,3611
2015-06-26,5016
2015-06-25,5956
2015-06-24,5005
2015-06-23,5501
2015-06-22,4796
2015-06-21,0
2015-06-20,3611
2015-06-19,6773
2015-06-18,7302
2015-06-17,7751
2015-06-16,8386
2015-06-15,9937
2015-06-14,0
2015-06-13,3456
2015-06-12,5474
2015-06-11,5703
2015-06-10,5246
2015-06-09,5273
2015-06-08,6142
2015-06-07,0
2015-06-06,3349
2015-06-05,5904
2015-06-04,7964
2015-06-03,7244
2015-06-02,8143
2015-06-01,10971
2015-05-31,0
2015-05-30,4692
2015-05-29,6451
2015-05-28,6718
2015-05-27,5573
2015-05-26,6503
2015-05-25,0
2015-05-24,0
2015-05-23,3199
2015-05-22,6191
2015-05-21,7441
2015-05-20,6896
2015-05-19,7358
2015-05-18,8956
2015-05-17,0
2015-05-16,3158
2015-05-15,5772
2015-05-14,0
2015-05-13,6012
2015-05-12,5811
2015-05-11,5752
2015-05-10,0
2015-05-09,3670
2015-05-08,6793
2015-05-07,7733
2015-05-06,7510
2015-05-05,7511
2015-05-04,9806
2015-05-03,0
2015-05-02,4910
2015-05-01,0
2015-04-30,9956
2015-04-29,8158
2015-04-28,8419
2015-04-27,10468
2015-04-26,0
2015-04-25,3213
2015-04-24,5160
2015-04-23,6125
2015-04-22,4605
2015-04-21,5244
2015-04-20,5591
2015-04-19,0
2015-04-18,3834
2015-04-17,6049
